 

stn;time;sre000h0
TAE;2022110100;0
TAE;2022110101;0
TAE;2022110102;0
TAE;2022110103;0
TAE;2022110104;0
TAE;2022110105;0
TAE;2022110106;0
TAE;2022110107;0
TAE;2022110108;0
TAE;2022110109;0
TAE;2022110110;0
TAE;2022110111;0
TAE;2022110112;0
TAE;2022110113;0
TAE;2022110114;24
TAE;2022110115;36
TAE;2022110116;6
TAE;2022110117;0
TAE;2022110118;0
TAE;2022110119;0
TAE;2022110120;0
TAE;2022110121;0
TAE;2022110122;0
TAE;2022110123;0
TAE;2022110200;0
TAE;2022110201;0
TAE;2022110202;0
TAE;2022110203;0
TAE;2022110204;0
TAE;2022110205;0
TAE;2022110206;0
TAE;2022110207;0
TAE;2022110208;0
TAE;2022110209;0
TAE;2022110210;3
TAE;2022110211;0
TAE;2022110212;0
TAE;2022110213;2
TAE;2022110214;13
TAE;2022110215;38
TAE;2022110216;13
TAE;2022110217;0
TAE;2022110218;0
TAE;2022110219;0
TAE;2022110220;0
TAE;2022110221;0
TAE;2022110222;0
TAE;2022110223;0
TAE;2022110300;0
TAE;2022110301;0
TAE;2022110302;0
TAE;2022110303;0
TAE;2022110304;0
TAE;2022110305;0
TAE;2022110306;0
TAE;2022110307;0
TAE;2022110308;0
TAE;2022110309;0
TAE;2022110310;0
TAE;2022110311;12
TAE;2022110312;2
TAE;2022110313;0
TAE;2022110314;0
TAE;2022110315;0
TAE;2022110316;0
TAE;2022110317;0
TAE;2022110318;0
TAE;2022110319;0
TAE;2022110320;0
TAE;2022110321;0
TAE;2022110322;0
TAE;2022110323;0
TAE;2022110400;0
TAE;2022110401;0
TAE;2022110402;0
TAE;2022110403;0
TAE;2022110404;0
TAE;2022110405;0
TAE;2022110406;0
TAE;2022110407;0
TAE;2022110408;0
TAE;2022110409;0
TAE;2022110410;0
TAE;2022110411;14
TAE;2022110412;16
TAE;2022110413;0
TAE;2022110414;0
TAE;2022110415;0
TAE;2022110416;3
TAE;2022110417;0
TAE;2022110418;0
TAE;2022110419;0
TAE;2022110420;0
TAE;2022110421;0
TAE;2022110422;0
TAE;2022110423;0
TAE;2022110500;0
TAE;2022110501;0
TAE;2022110502;0
TAE;2022110503;0
TAE;2022110504;0
TAE;2022110505;0
TAE;2022110506;0
TAE;2022110507;0
TAE;2022110508;0
TAE;2022110509;0
TAE;2022110510;0
TAE;2022110511;0
TAE;2022110512;0
TAE;2022110513;0
TAE;2022110514;0
TAE;2022110515;0
TAE;2022110516;0
TAE;2022110517;0
TAE;2022110518;0
TAE;2022110519;0
TAE;2022110520;0
TAE;2022110521;0
TAE;2022110522;0
TAE;2022110523;0
TAE;2022110600;0
TAE;2022110601;0
TAE;2022110602;0
TAE;2022110603;0
TAE;2022110604;0
TAE;2022110605;0
TAE;2022110606;0
TAE;2022110607;0
TAE;2022110608;0
TAE;2022110609;0
TAE;2022110610;0
TAE;2022110611;0
TAE;2022110612;0
TAE;2022110613;5
TAE;2022110614;0
TAE;2022110615;12
TAE;2022110616;0
TAE;2022110617;0
TAE;2022110618;0
TAE;2022110619;0
TAE;2022110620;0
TAE;2022110621;0
TAE;2022110622;0
TAE;2022110623;0
TAE;2022110700;0
TAE;2022110701;0
TAE;2022110702;0
TAE;2022110703;0
TAE;2022110704;0
TAE;2022110705;0
TAE;2022110706;0
TAE;2022110707;0
TAE;2022110708;29
TAE;2022110709;60
TAE;2022110710;60
TAE;2022110711;53
TAE;2022110712;60
TAE;2022110713;59
TAE;2022110714;60
TAE;2022110715;22
TAE;2022110716;0
TAE;2022110717;0
TAE;2022110718;0
TAE;2022110719;0
TAE;2022110720;0
TAE;2022110721;0
TAE;2022110722;0
TAE;2022110723;0
TAE;2022110800;0
TAE;2022110801;0
TAE;2022110802;0
TAE;2022110803;0
TAE;2022110804;0
TAE;2022110805;0
TAE;2022110806;0
TAE;2022110807;0
TAE;2022110808;21
TAE;2022110809;36
TAE;2022110810;36
TAE;2022110811;46
TAE;2022110812;40
TAE;2022110813;58
TAE;2022110814;30
TAE;2022110815;21
