Office fédéral de météorologie et de climatologie, MétéoSuisse
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

stn yyyyMMddHHmm

stn Abréviation de la station
y   Année
M   Mois
d   Jour
H   Heure
m   Minute   
     
Heures en UTC:           00:40 UTC = 02:40 heure d'été
                                   = 01:40 heure d'hiver

Référence du temps pour les valeurs horaires, si rien d'autre ne figure dans la description du paramètre: HH  = (HH-1):01 - HH:00
Exemple: 13 = se réfère à la période de mesure de 12:01 à 13:00

Les valeurs manquantes sont caractérisées par un '-'.

Informations sur la qualité: la légende relative aux informations sur la qualité se trouve sous: https://gate.meteoswiss.ch/idaweb/text/datenqualitaet_legende_fr.pdf


 



Stations
--------
stn       Nom                                  Parameter        Source de données                                  Longitude/Latitude       Coordonnées [km] Altitude [m]
TAE       Aadorf / Tänikon                     rre150h0         MeteoSchweiz                                       8°54'/47°29'             710517/259824    539
ABE       Aarberg                              rre150h0         MeteoSchweiz                                       7°17'/47°03'             588354/211894    444
AGAAB     Aarburg                              rre150h0         Kanton Aargau; Departement Bau, Verkehr und Umwelt; Abteilung Landschaft und Gewässer 7°54'/47°19'             634730/240304    402
ZHAAT     Aathal                               rre150h0         Bundesamt für Strassen                             8°46'/47°20'             700251/243788    496
ZEOWAW    Acheriwald                           rre150h0         Bundesamt für Strassen                             8°18'/46°55'             665426/196970    580
COM       Acquarossa / Comprovasco             rre150h0         MeteoSchweiz                                       8°56'/46°28'             714984/146451    575
ZELUAE    Aesch                                rre150h0         Kanton Luzern; zentras                             8°14'/47°16'             660531/235073    487
SOAET     Aetigkofen                           rre150h0         Kanton Solothurn                                   7°28'/47°08'             601870/219372    621
AIE       Affoltern i. E.                      rre150h0         MeteoSchweiz                                       7°44'/47°04'             622940/212500    755
AIG       Aigle                                rre150h0         MeteoSchweiz                                       6°55'/46°20'             560404/130713    381
ZELUAW    Alberswil                            rre150h0         Kanton Luzern; zentras                             8°00'/47°09'             642580/223048    512
TGALL     Allenwinden                          rre150h0         Kanton Thurgau                                     8°57'/47°23'             714225/249135    945
ALT       Altdorf                              rre150h0         MeteoSchweiz                                       8°37'/46°53'             690180/193564    437
ARH       Altenrhein                           rre150h0         MeteoSchweiz                                       9°34'/47°29'             760386/261381    397
DLALH     Altheim                              rre150h0         Deutscher Wetterdienst                             9°28'/48°09'             750411/335018    533
DLALM     Altomünster                          rre150h0         Deutscher Wetterdienst                             11°19'/48°24'            886737/368856    510
BOSGAS    Altstätten / Isenriet                rre150h0         Kanton St. Gallen; Baudepartement                  9°35'/47°22'             761578/248406    415
BOSGST    Altstätten / Stossberg               rre150h0         Kanton St. Gallen; Baudepartement                  9°30'/47°22'             756000/248030    843
ALS       Altstätten, SG                       rre150h0         MeteoSchweiz                                       9°33'/47°23'             759910/250202    430
DLAME     Amerang / Pfaffing                   rre150h0         Deutscher Wetterdienst                             12°18'/48°01'            961909/330019    515
AMW       Amriswil                             rre150h0         MeteoSchweiz                                       9°19'/47°33'             741796/268304    420
TGAMR     Amriswil                             rre150h0         Kanton Thurgau                                     9°19'/47°32'             741040/266790    485
BOURAM    Amsteg                               rre150h0         Bundesamt für Strassen                             8°40'/46°47'             693700/181399    508
AND       Andeer                               rre150h0         MeteoSchweiz                                       9°26'/46°37'             752691/164038    987
AFI       Andelfingen                          rre150h0         MeteoSchweiz                                       8°40'/47°36'             692617/273392    360
APP       Appenzell                            rre150h0         MeteoSchweiz                                       9°24'/47°20'             748012/245040    750
BOTGAS    Arbon Süd                            rre150h0         Bundesamt für Strassen                             9°25'/47°30'             748924/262641    410
TGARE     Arenenberg                           rre150h0         Kanton Thurgau                                     9°04'/47°40'             721758/281302    470
KAARL     Arlesheim                            rre150h0         Kachelmannwetter GmbH                              7°37'/47°29'             612969/260105    294
ZHAU      Arn / Abachweiherbrücke              rre150h0         Bundesamt für Strassen                             8°37'/47°14'             689669/231900    557
TIARO     Arosio                               rre150h0         Repubblica e Cantone Ticino; Dipartimento del territorio; Divisione delle costruzioni; Ufficio dei corsi d'acqua 8°54'/46°03'             713130/100610    860
ZGART     Arth                                 rre150h0         Gewässerschutzverband der Region Zugersee-Küssnachtersee-Ägerisee 8°32'/47°05'             682536/214618    417
AGATT     Attelwil                             rre150h0         MeteoSchweiz                                       8°03'/47°16'             646307/235106    475
DLATT     Attenkam                             rre150h0         Deutscher Wetterdienst                             11°22'/47°53'            893561/310340    672
ZHATT     Attikon / Oberweiher                 rre150h0         Bundesamt für Strassen                             8°50'/47°32'             704964/265183    544
IYAUE     Auer                                 rre150h0         Autonome Provinz Bozen - Südtirol                  11°18'/46°21'            897521/140169    254
DLAUG     Augsburg                             rre150h0         Deutscher Wetterdienst                             10°57'/48°26'            859288/369729    461
DLAUL     Aulendorf / Blönried                 rre150h0         Deutscher Wetterdienst                             9°36'/47°56'             760976/310617    567
BOFRFL    Ausfahrt Flamatt                     rre150h0         Bundesamt für Strassen                             7°19'/46°53'             591143/193052    541
DLKIS     Bad Kissingen                        rre150h0         Deutscher Wetterdienst                             10°05'/50°13'            -/-              281
DLBKO     Bad Kohlgrub                         rre150h0         Deutscher Wetterdienst                             11°05'/47°40'            873446/285747    740
RAG       Bad Ragaz                            rre150h0         MeteoSchweiz                                       9°30'/47°01'             756910/209350    496
DLBWB     Bad Wildbad                          rre150h0         Deutscher Wetterdienst                             8°35'/48°47'             683642/404528    385
DLBAB     Baden-Baden / Geroldsau              rre150h0         Deutscher Wetterdienst                             8°15'/48°44'             659414/397775    240
BOVDBA    Ballaigues                           rre150h0         Bundesamt für Strassen                             6°24'/46°44'             520698/175401    850
ZHBAL     Baltenswil / Süd                     rre150h0         Bundesamt für Strassen                             8°39'/47°25'             691696/253181    488
DLBAM     Bamberg                              rre150h0         Deutscher Wetterdienst                             10°55'/49°52'            -/-              240
IYBAR     Barbian / Kollmann                   rre150h0         Autonome Provinz Bozen - Südtirol                  11°32'/46°36'            913312/168597    464
BOSHBA    Bargen 1                             rre150h0         Bundesamt für Strassen                             8°36'/47°48'             687320/294315    620
BAW       Barmelweid                           rre150h0         MeteoSchweiz                                       7°58'/47°25'             640058/252426    777
BAS       Basel / Binningen                    rre150h0         MeteoSchweiz                                       7°35'/47°32'             610908/265611    316
KADER     Basel / Dreispitz                    rre150h0         Kachelmannwetter GmbH                              7°37'/47°32'             612957/264905    285
VDBAU     Baulmes                              rre150h0         Canton de Vaud                                     6°33'/46°48'             531850/182915    585
ZHBAM     Bauma                                rre150h0         Kanton Zürich; Amt für Abfall, Wasser, Energie und Luft 8°52'/47°22'             707750/248010    621
ZENWBR    Beckenried                           rre150h0         Bundesamt für Strassen                             8°30'/46°58'             680782/201537    470
BEY       Bellelay                             rre150h0         MeteoSchweiz                                       7°10'/47°16'             579603/234880    923
BLZ       Bellinzona                           rre150h0         MeteoSchweiz                                       9°00'/46°11'             720913/116588    224
BEP       Belp                                 rre150h0         MeteoSchweiz                                       7°30'/46°54'             605082/195001    510
DOB       Benken / Doggen                      rre150h0         MeteoSchweiz                                       8°58'/47°11'             715387/227540    408
VDBER     Bercher                              rre150h0         Canton de Vaud                                     6°42'/46°42'             543530/171700    613
BOSGBV    Bergbachviadukt 1                    rre150h0         Bundesamt für Strassen                             9°25'/47°27'             749300/256599    630
BOSHBE    Beringen                             rre150h0         Bundesamt für Strassen                             8°36'/47°42'             687721/283107    457
ZELUBD    Bermudadreieck                       rre150h0         Bundesamt für Strassen                             8°18'/47°04'             665175/213685    447
NABBER    Bern / Bollwerk                      rre150h0         Bundesamt für Umwelt                               7°26'/46°57'             600137/199985    535
BER       Bern / Zollikofen                    rre150h0         MeteoSchweiz                                       7°28'/46°59'             601933/204409    552
NABBRM    Beromünster                          rre150h0         Bundesamt für Umwelt                               8°11'/47°11'             655842/226777    797
DLBER     Berus                                rre150h0         Deutscher Wetterdienst                             6°41'/49°16'             -/-              363
BEX       Bex                                  rre150h0         MeteoSchweiz                                       6°60'/46°15'             565806/121511    402
BEZ       Beznau                               rre150h0         MeteoSchweiz                                       8°14'/47°33'             659812/267696    325
BIA       Biasca                               rre150h0         MeteoSchweiz                                       8°59'/46°20'             718535/132792    278
TIBIC     Biasca A2                            rre150h0         Repubblica e Cantone Ticino; Dipartimento del territorio; Divisione delle costruzioni; Ufficio dei corsi d'acqua 8°58'/46°21'             717000/135125    293
BOTIBS    Biasca Sud                           rre150h0         Bundesamt für Strassen                             8°58'/46°21'             717121/134620    295
BOBEBJ    Bienne / Boujean                     rre150h0         Bundesamt für Strassen                             7°17'/47°09'             588323/222910    436
GLBIL     Bilten                               rre150h0         Gebäudeversicherung glarnerSach                    9°01'/47°09'             720188/223629    424
TIBIO     Bioggio                              rre150h0         Repubblica e Cantone Ticino; Dipartimento del territorio; Divisione ambiente; Sezione protezione aria, acqua e suolo; Ufficio del monitoraggio ambientale 8°55'/46°01'             714170/96525     285
DLBIR     Birkendorf                           rre150h0         Deutscher Wetterdienst                             8°19'/47°45'             665435/288666    760
ZHBID     Birmensdorf                          rre150h0         Kanton Zürich; Amt für Abfall, Wasser, Energie und Luft 8°26'/47°21'             675660/245430    466
AGBRW     Birrwil                              rre150h0         Kanton Aargau; Departement Bau, Verkehr und Umwelt; Abteilung Landschaft und Gewässer 8°12'/47°17'             657815/237345    480
BIZ       Bischofszell / Sitterdorf            rre150h0         MeteoSchweiz                                       9°16'/47°31'             737713/263612    507
MMBIS     Bisisthal                            rre150h0         DTN Schweiz AG                                     8°50'/46°57'             705747/200459    795
BIE       Bière                                rre150h0         MeteoSchweiz                                       6°21'/46°31'             515887/153210    683
DLBLU     Blumberg / Randen                    rre150h0         Deutscher Wetterdienst                             8°35'/47°49'             685287/297116    818
BOL       Boltigen                             rre150h0         MeteoSchweiz                                       7°23'/46°37'             595831/163587    820
MMBOY     Boudry                               rre150h0         DTN Schweiz AG                                     6°49'/46°57'             553199/200608    510
IYBOZ     Bozen                                rre150h0         Autonome Provinz Bozen - Südtirol                  11°19'/46°30'            897293/156942    246
IYBRZ     Branzoll                             rre150h0         Autonome Provinz Bozen - Südtirol                  11°19'/46°24'            897663/146809    227
TGBOH     Braunau / Oberhof                    rre150h0         Kanton Thurgau                                     9°05'/47°31'             723396/264338    630
DLBRE     Bremen                               rre150h0         Deutscher Wetterdienst                             8°48'/53°03'             691777/879837    4
