Office fédéral de météorologie et de climatologie, MétéoSuisse
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

stn yyyyMMddHHmm

stn Abréviation de la station
y   Année
M   Mois
d   Jour
H   Heure
m   Minute   
     
Heures en UTC:           00:40 UTC = 02:40 heure d'été
                                   = 01:40 heure d'hiver

Référence du temps pour les valeurs horaires, si rien d'autre ne figure dans la description du paramètre: HH  = (HH-1):01 - HH:00
Exemple: 13 = se réfère à la période de mesure de 12:01 à 13:00

Les valeurs manquantes sont caractérisées par un '-'.

Informations sur la qualité: la légende relative aux informations sur la qualité se trouve sous: https://gate.meteoswiss.ch/idaweb/text/datenqualitaet_legende_fr.pdf


 



Stations
--------
stn       Nom                                  Parameter        Source de données                                  Longitude/Latitude       Coordonnées [km] Altitude [m]
DLMER     Merklingen                           rre150h0         Deutscher Wetterdienst                             9°46'/48°31'             771885/376134    685
MEV       Mervelier                            rre150h0         MeteoSchweiz                                       7°29'/47°21'             603884/243975    540
MMMES     Mesocco                              rre150h0         DTN Schweiz AG                                     9°14'/46°24'             737894/139979    840
DLMES     Messstetten                          rre150h0         Deutscher Wetterdienst                             8°57'/48°10'             711942/336543    899
ZHMEM     Mettmenstetten                       rre150h0         Kanton Zürich; Amt für Abfall, Wasser, Energie und Luft 8°27'/47°14'             677144/232194    451
SOMET     Metzerlen                            rre150h0         Kanton Solothurn                                   7°27'/47°28'             601007/256825    490
DLMEZ     Metzingen                            rre150h0         Deutscher Wetterdienst                             9°16'/48°32'             735531/378007    355
GECRN     Meyrin / CERN                        rre150h0         République et canton de Genève                     6°03'/46°14'             493030/121244    432
DLMIC     Michelstadt / Vielbrunn              rre150h0         Deutscher Wetterdienst                             9°06'/49°43'             -/-              453
DLMIT     Mittenwald                           rre150h0         Deutscher Wetterdienst                             11°16'/47°29'            888341/265588    981
BOTIMS    Moesa                                rre150h0         Bundesamt für Strassen                             9°04'/46°14'             726210/121059    252
VDMOI     Moillettaz                           rre150h0         Canton de Vaud                                     7°01'/46°57'             568140/199475    490
BOTIML    Moleno                               rre150h0         Bundesamt für Strassen                             9°00'/46°16'             720480/125559    252
