 

stn;time;gre000h0
TAE;2022110100;2
TAE;2022110101;1
TAE;2022110102;2
TAE;2022110103;1
TAE;2022110104;1
TAE;2022110105;1
TAE;2022110106;2
TAE;2022110107;8
TAE;2022110108;42
TAE;2022110109;75
TAE;2022110110;108
TAE;2022110111;167
TAE;2022110112;242
TAE;2022110113;174
TAE;2022110114;232
TAE;2022110115;136
TAE;2022110116;31
TAE;2022110117;3
TAE;2022110118;1
TAE;2022110119;2
TAE;2022110120;1
TAE;2022110121;2
TAE;2022110122;2
TAE;2022110123;2
TAE;2022110200;1
TAE;2022110201;1
TAE;2022110202;1
TAE;2022110203;1
TAE;2022110204;1
TAE;2022110205;1
TAE;2022110206;2
TAE;2022110207;15
TAE;2022110208;68
TAE;2022110209;131
TAE;2022110210;228
TAE;2022110211;170
TAE;2022110212;188
TAE;2022110213;236
TAE;2022110214;156
TAE;2022110215;133
TAE;2022110216;38
TAE;2022110217;3
TAE;2022110218;1
TAE;2022110219;2
TAE;2022110220;2
TAE;2022110221;2
TAE;2022110222;1
TAE;2022110223;2
TAE;2022110300;2
TAE;2022110301;1
TAE;2022110302;2
TAE;2022110303;1
TAE;2022110304;1
TAE;2022110305;2
TAE;2022110306;2
TAE;2022110307;21
TAE;2022110308;74
TAE;2022110309;114
TAE;2022110310;222
TAE;2022110311;339
TAE;2022110312;317
TAE;2022110313;206
TAE;2022110314;89
TAE;2022110315;56
TAE;2022110316;19
TAE;2022110317;2
TAE;2022110318;1
TAE;2022110319;1
TAE;2022110320;1
TAE;2022110321;1
TAE;2022110322;2
TAE;2022110323;1
TAE;2022110400;1
TAE;2022110401;1
TAE;2022110402;1
TAE;2022110403;1
TAE;2022110404;1
TAE;2022110405;1
TAE;2022110406;2
TAE;2022110407;11
TAE;2022110408;63
TAE;2022110409;109
TAE;2022110410;212
TAE;2022110411;334
TAE;2022110412;267
TAE;2022110413;205
TAE;2022110414;148
TAE;2022110415;81
TAE;2022110416;26
TAE;2022110417;2
TAE;2022110418;1
TAE;2022110419;2
TAE;2022110420;1
TAE;2022110421;2
TAE;2022110422;1
TAE;2022110423;2
TAE;2022110500;1
TAE;2022110501;1
TAE;2022110502;1
TAE;2022110503;1
TAE;2022110504;1
TAE;2022110505;1
TAE;2022110506;2
TAE;2022110507;5
TAE;2022110508;36
TAE;2022110509;76
TAE;2022110510;114
TAE;2022110511;212
TAE;2022110512;271
TAE;2022110513;168
TAE;2022110514;72
TAE;2022110515;88
TAE;2022110516;13
TAE;2022110517;2
TAE;2022110518;2
TAE;2022110519;2
TAE;2022110520;2
TAE;2022110521;2
TAE;2022110522;2
TAE;2022110523;1
TAE;2022110600;1
TAE;2022110601;1
TAE;2022110602;1
