Office fédéral de météorologie et de climatologie, MétéoSuisse
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

stn yyyyMMddHHmm

stn Abréviation de la station
y   Année
M   Mois
d   Jour
H   Heure
m   Minute   
     
Heures en UTC:           00:40 UTC = 02:40 heure d'été
                                   = 01:40 heure d'hiver

Référence du temps pour les valeurs horaires, si rien d'autre ne figure dans la description du paramètre: HH  = (HH-1):01 - HH:00
Exemple: 13 = se réfère à la période de mesure de 12:01 à 13:00

Les valeurs manquantes sont caractérisées par un '-'.

Informations sur la qualité: la légende relative aux informations sur la qualité se trouve sous: https://gate.meteoswiss.ch/idaweb/text/datenqualitaet_legende_fr.pdf


 



Stations
--------
stn       Nom                                  Parameter        Source de données                                  Longitude/Latitude       Coordonnées [km] Altitude [m]
TAE       Aadorf / Tänikon                     gre000h0         MeteoSchweiz                                       8°54'/47°29'             710517/259824    539
AGAAR     Aarau                                gre000h0         Kanton Aargau; Departement Bau, Verkehr und Umwelt; Abteilung für Umwelt 8°03'/47°23'             646140/248741    398
COM       Acquarossa / Comprovasco             gre000h0         MeteoSchweiz                                       8°56'/46°28'             714984/146451    575
AIG       Aigle                                gre000h0         MeteoSchweiz                                       6°55'/46°20'             560404/130713    381
TGALL     Allenwinden                          gre000h0         Kanton Thurgau                                     8°57'/47°23'             714225/249135    945
ALT       Altdorf                              gre000h0         MeteoSchweiz                                       8°37'/46°53'             690180/193564    437
ARH       Altenrhein                           gre000h0         MeteoSchweiz                                       9°34'/47°29'             760386/261381    397
TGAMR     Amriswil                             gre000h0         Kanton Thurgau                                     9°19'/47°32'             741040/266790    485
AND       Andeer                               gre000h0         MeteoSchweiz                                       9°26'/46°37'             752691/164038    987
TGARE     Arenenberg                           gre000h0         Kanton Thurgau                                     9°04'/47°40'             721758/281302    470
IYAUE     Auer                                 gre000h0         Autonome Provinz Bozen - Südtirol                  11°18'/46°21'            897521/140169    254
DLAUG     Augsburg                             gre000h0         Deutscher Wetterdienst                             10°57'/48°26'            859288/369729    461
RAG       Bad Ragaz                            gre000h0         MeteoSchweiz                                       9°30'/47°01'             756910/209350    496
AGBAD     Baden                                gre000h0         Kanton Aargau; Departement Bau, Verkehr und Umwelt; Abteilung für Umwelt 8°19'/47°28'             666075/257972    377
DLBAM     Bamberg                              gre000h0         Deutscher Wetterdienst                             10°55'/49°52'            -/-              240
BAN       Bantiger                             gre000h0         MeteoSchweiz                                       7°32'/46°59'             606850/202975    941
IYBAR     Barbian / Kollmann                   gre000h0         Autonome Provinz Bozen - Südtirol                  11°32'/46°36'            913312/168597    464
BAS       Basel / Binningen                    gre000h0         MeteoSchweiz                                       7°35'/47°32'             610908/265611    316
NABBER    Bern / Bollwerk                      gre000h0         Bundesamt für Umwelt                               7°26'/46°57'             600137/199985    535
BER       Bern / Zollikofen                    gre000h0         MeteoSchweiz                                       7°28'/46°59'             601933/204409    552
NABBRM    Beromünster                          gre000h0         Bundesamt für Umwelt                               8°11'/47°11'             655842/226777    797
DLBER     Berus                                gre000h0         Deutscher Wetterdienst                             6°41'/49°16'             -/-              363
BEZ       Beznau                               gre000h0         MeteoSchweiz                                       8°14'/47°33'             659812/267696    325
BIA       Biasca                               gre000h0         MeteoSchweiz                                       8°59'/46°20'             718535/132792    278
TIBIO     Bioggio                              gre000h0         Repubblica e Cantone Ticino; Dipartimento del territorio; Divisione ambiente; Sezione protezione aria, acqua e suolo; Ufficio del monitoraggio ambientale 8°55'/46°01'             714170/96525     285
